Countries,"Parties to the WTO agreement
http://www.wto.org/english/tratop_e/gproc_e/memobs_e.htm#parties",,"OECD country reports 
http://www.oecd.org/gov/ethics/combined%20files.pdf
Page 46",,,,,,,,,,,,,,,,,,OECD data verification from national experts (PRACTICE),,,,,,,,,,,,,,,,,"Open Government Partnership (shall search for contracts too!)
http://www.opengovpartnership.org/countries",,NOTE,Other,,,,,,,
,,,Laws and policies,General information for potential bidders,Selection and evaluation criteria,Contract award,Specific guidance on application procedures,Tender documents,Procurement plan of anticipated tenders,Justification for awarding contract to selected contractor,Contract modifications,Tracking procurement spending,,Name of person/source,Organization,Central Database,Link to database,How procurement information published,Data formats,Indivdiaul doc or bulk data?,Laws and policies,General information for potential bidders,Selection and evaluation criteria,Info about other bidders,Contract award,Specific guidance on application procedures,Tender documents,Procurement plan of anticipated tenders,Justification for awarding contract to selected contractor,Contract modifications,Tracking procurement spending,Information on Contract Implementation,Suspension/ Debarment Procedure,Is information about debarred companies made available?,Link to Law,Civil Society Tools that rely on Procurement data,Comments/Notes (sic),Action plan available,Commitments on procurements,,Has Suspension/Debarment procedures,S&D data publicly available?,Information on other bidders,Civil society tools,URL for the national procurement register,Data formats available,,Primary CSO contact
Albania,No,,-,-,-,-,-,-,-,-,-,-,,Armand Brahaj,Albanian Institute of Science,"Yes, but it`s incomplete and does not include all tender documents. ",,"Paper Files, Digital files (online)",PDFs,Not available at all,Sometimes,Always,always,Never,Always,Always,Sometimes,Never,Somtimes,Sometimes,Never,Upon request,No,No,http://www.pad.gov.al/content/KuadriLigjor/LegjislacionPerPP.htm,AIS (Open Data Albania),You guys rock!,Yes,"In 2009 Albania was the first country in the world that carried out a mandatory electronic procurement system for all public sector procurements above the threshold of 3000 Euros. For implementing this project, our country received the second prize of the 2010 UN Public Service Award for excellence in age 8 of 8 public service. This e-procurement platform is a web-based application that enables secure transactions between Albanian public institutions and national and international business. This system provides a secure and transparent  administration for the preparation of all tender documents, thus avoiding unnecessary paperwork and providing data about the entire process (www.app.gov.al).
This year, the Public Procurement Agency will implement the electronic system of all agreements and develop electronic concessions procedures until the opening phase of the offerings.",,,,,,,,,Open Data Albania
Croatia,No,,-,-,-,-,-,-,-,-,-,-,,Marko Rakar,Vjetrenjača,Yes,http://oglasnik-jn.nn.hr/,"Paper files, Digital files (online)","Text file formats (TXT, DOC, ODT, etc.), PDFs",Individual documents only ,Always,Always,Always,Never,Always,Always,Always,Always,Upon Request,Always,Sometimes,Never,No,,https://www.mercadopublico.cl/Portal/MP2/secciones/leyes-y-reglamento/leyes-y-reglamento.html,http://nabava.vjetrenjaca.org,"most of this responses are theoretical, which means that by law institutions are required to publish all information but that does not mean that this is followed also, public procurement site is subscription based, content there is time limited and unsearchable",Yes,"Enactment of the Public Procurement Act (Official Gazette 90/2011) has improved transparency in all phases of public procurement. In order to raise the level of transparency in the process of executing public contracts, all public authority bodies are obliged to announce information about concluded public procurement contracts and their execution. Due to the additional efforts of a few civil society organisations, it is now possible to access information on all executed and advertised public procurement procedures in Croatia.
On the website www.javnanabava.hr provide a consolidated and publicly available list oflinks to individual “Registers of public procurement contracts and framework agreements”which were published individually.
Publish public procurement contracts and framework agreements concluded by the Central Procurement Office on the Office’s website.",,,,,http://nabava.vjetrenjaca.org/,,,,"Marko Rakar, Windmill"
Georgia,No,,,-,-,-,-,-,-,-,-,-,,Mathias Huter,Transparency International Georgia,Yes,ttps://tenders.procurement.gov.ge/login.php?lang=en,Digital files (online),PDFs,Individual documents only,Always,Always ,Always,Always,Always,Always,Always,Always,Always,Always ,Always,Sometimes,Yes,Yes,http://procurement.gov.ge/index.php?lang_id=ENG&sec_id=37,http://tendermonitor.ge,"The data above refers to contracts that are procured using a centralized electronic platform, which was about 55% of all contracts (in terms of value) in 2012. In 2011, that rate was higher, but it went down last year for political reasons. There are a bunch of exceptions and loopholes in Georgian procurement legislation that allow different government actors to avoid the transparent electronic process, but most contracts that are procured without a competitive tender are now also published on the e-platform (you have to register for a free account to see them). Similarly, you have blacklisted and whitelisted companies on the website, you have a dispute resolution broad (we are one of the members) which publishes all its decisions online within 10 working days after a complaint is filed. Complaints against a tender procedure can be filed by anybody on the procurement website by filling out a form, which then freezes the process. ",Yes,"Before 2003 public procurement was the safe haven of corrupt agreements in Georgia. This system was  abandoned and a new platform for public procurement was introduced: www.procurement.gov.ge. Public procurement can be conducted exclusively online. There is zero possibility of corruption as the bidding process is being carried out online on the web-site and any interested party can follow it. The competitiveness is fully guaranteed. In order to maximise transparency, a Dispute Resolution Board was created with civil society being equally represented together with public officials. 
This innovative approach gave the State the possibility to save 202 million GEL of public money that amounts to 14% of the procurement budget. It is planned to further fine-tune the system and find new ways of balancing criteria of price and quality and improve the analytical module of the system.  
The Georgian Government uses an online platform and online bidding for auctions as well: www.eauction.ge. The principles are the same: full transparency, accessibility and equal competition. It is envisaged to make the e-auction system more user-friendly. ",,,,,,,,,TI Georgia
Russia,No,,-,-,-,-,-,-,-,-,-,-,,,,,,,,,always,always,Sometimes,,always,always,always,Always,Sometimes,sometimes,sometimes,,,,,,,No,-,,"Yes, 94-ФЗ (94 federal law) (Resource: Ivan Kovelanko)","Yes, but connected to contracts, has no separate dataset (Resource: Ivan Kovelanko)",,http://rospil.info/   ,Http://zakupki.gov.ru,XML,,Ivan Kovalenko
Uruguay,No,,-,-,-,-,-,-,-,-,-,-,,Fabrizio Scrollini,D.A.T.A,Yes but it's incomplete and does not include all tender documents,www.comprasestatales.gub.uy,"Paper files, Digital files (not online), Digital files (online)","Machine readable formats (CSV, XML, JSON, etc.), Some info is still in texfile formats.",Some documents are available as bulk data,Always,Always,Sometimes,Sometimes,Always,Always,Always,Never,upon request,Upon request,Upon request,Never,Yes ,,http://www.comprasestatales.gub.uy/inicio/normativa/leyes-decretos,No,"One of the main challenges is that information might be incomplete, or that is not updated. Furthermore the database mostly covers the central administration meaning not all public expenditure goes through the portal. As a result it is not possible to obtain actual expenditure through this website.",Yes,None,,,,,,,,,Fabrizio Scrollini 
Chile ,No,,always,always,sometimes,always,always,always,always,always,sometimes,always,,Pedro Daire,Fundacion Cuidado Inteligente,Yes,http://www.mercadopublico.cl,Digital files (online),"Text file formats (TXT, DOC, ODT, etc.), PDFs, html","Individual documents only, Some documents are available as bulk data",Always,Always,Always,,Always,Always,Always,,,Always,Always,Upon request,Yes,,https://www.mercadopublico.cl/Portal/MP2/secciones/leyes-y-reglamento/leyes-y-reglamento.html,,I'm ft unanswered the ones I wasn't sure.,Yes,Commitments in Spanish,,,,,,,,,Ciudadano Inteligente
Italy ,Yes,,always,always,always,always,always,always,always,upon request,always,upon request,,Ernesto Belisario,Italian Open Government Observatory,"Yes, but it's incomplete and does not include all tender documents.",https://www.serviziocontrattipubblici.it/,"Paper files, Digital files (online)","Text file formats (TXT, DOC, ODT, etc.), PDFs",Individual documents only,Always,Always,Always,Upon request,Always,Always,Always,Sometimes,Upon request,Sometimes,Sometimes,Upon request,Yes ,No,http://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2006-04-12;163!vig=,,Italy does not have a FOIA and so much information is available only upon request of another bidder,Yes,None,,,,,,,,,Diritto di Sipare
Japan ,Yes,,always,always,always,always,always,always,always,always,always,upon request,,Hiroichi Kawashima,OKF Japan,Yes,http://www.chotatujoho.go.jp/csjs/pr006/JohoInActionEN.do,Digital files (online) ,"Text file format (TXT, DOC, ODT, etc.), PDFs","In many cases, perforamcne recrods are not available even as individual documents",Always,Always,Always,Sometimes,Always,Always,Always,Sometimes,Always,Always,Upon request,Upon request,Yes ,Yes,http://www.japaneselawtranslation.go.jp/law/detail/?ft=1&x=70&y=1&co=01&ky=%E4%BC%9A%E8%A8%88%E6%B3%95&page=1&re=02,,"As for the question ""Is basic information about other bidders available?"", it depends in the procurement practices in Japan. If it is the case where the tender is quality-basis, the procuring agency will announce who have participated in the bid when the bidders have completed their registrations. However, it is a simple cost-basis procurement, information about other bidders is not available through the tender process to avoid the conspiracy behind the scene. ",No,-,,,,,,,,,OKF Japan
